h3_8,año_hecho,umap_1,umap_2
8849958183fffff,2023,12.918308,4.29134
8849958189fffff,2018,6.6635427,1.8777764
8849958189fffff,2019,8.370532,2.0089955
8849958189fffff,2020,12.586487,4.179715
8849958189fffff,2021,11.876418,4.422015
8849958189fffff,2022,9.405968,2.527888
8849958189fffff,2023,6.934182,1.917004
884995818bfffff,2016,12.066775,3.5458782
884995818bfffff,2017,7.8373804,1.4202689
884995818bfffff,2018,9.395991,2.4317179
884995818bfffff,2019,7.211986,6.431021
884995818bfffff,2020,7.1219325,1.2593126
884995818bfffff,2021,10.248058,0.6582886
884995818bfffff,2022,10.07422,1.377684
884995818bfffff,2023,10.668322,0.36535034
884995818bfffff,2024,11.24298,5.9678926
8849958195fffff,2016,12.632644,2.6854486
8849958195fffff,2017,10.432974,3.3818653
8849958195fffff,2018,10.833777,5.2084136
8849958195fffff,2019,8.449601,6.3762655
8849958195fffff,2020,11.311554,5.1025543
8849958195fffff,2021,7.205325,2.8554556
8849958195fffff,2022,7.6995616,6.559948
8849958195fffff,2023,11.2362995,3.658422
8849958195fffff,2024,12.228367,5.0717416
8849958199fffff,2016,8.667306,2.0995357
8849958199fffff,2017,10.242829,3.3079207
8849958199fffff,2018,10.051379,4.49229
8849958199fffff,2019,8.49619,1.8348712
8849958199fffff,2020,8.976663,0.1436235
8849958199fffff,2021,9.621377,1.8655032
8849958199fffff,2022,8.393641,6.7824693
8849958199fffff,2023,10.2313,1.943864
8849958199fffff,2024,10.924516,0.8175321
884995819dfffff,2016,11.990051,4.3198786
884995819dfffff,2017,10.32877,3.8173356
884995819dfffff,2018,10.8208275,3.565553
884995819dfffff,2019,8.77561,3.6406596
884995819dfffff,2020,9.182548,6.4462914
884995819dfffff,2021,10.281497,4.9176264
884995819dfffff,2022,10.843051,4.058306
884995819dfffff,2023,11.038984,3.2313547
884995819dfffff,2024,11.101302,4.0562077
88499581b1fffff,2017,7.512921,2.7411258
88499581b1fffff,2019,8.73894,3.885573
88499581b1fffff,2020,12.646986,3.0429997
88499581b1fffff,2021,10.780537,1.4290552
88499581b1fffff,2022,11.677362,6.384891
88499581b1fffff,2023,11.264863,5.9700527
88499581b1fffff,2024,9.57046,5.208797
