h3_8,año_hecho,cm_transeunte,cm_vehiculo,cm_negocio,cm_repartidor,cm_metro,cm_violacion,cm_homicidio,cm_microbus,cm_lesiones,cm_casa,hr_madrugada,hr_manana,hr_tarde,hr_noche,ds_0,ds_1,ds_2,ds_3,ds_4,ds_5,ds_6,log_n
88499516d9fffff,2016,-0.9256975756016951,1.426717373323584,-0.8659826668069864,0.4433833259443162,-0.3412770273739779,0.13830493183608988,-0.13573420165643732,-0.6106211328310693,0.270386946307035,-0.5786639455694739,1.2551143263880287,-0.7405271879111864,-0.037978924726072845,-0.235114089979259,0.38165794632377864,1.5909264713109728,-0.5034016419503055,0.7192608097901323,-0.5356269669679912,-1.5709834500491775,-0.06273228767801303,0.028786399876918226
88499516d9fffff,2017,-1.1189338788019638,0.6578655740716535,0.05772402433679676,0.7254814846355438,-0.3412770273739779,-0.8967756562020611,0.7697858051407285,1.221541873655699,0.46626929239098047,-0.5786639455694739,0.04428282527724619,0.04646942760056157,-1.5303703808856244,1.3899871076614052,-0.6220481715811249,0.35542624251628613,-0.6604518069714602,0.3169204192564096,-0.20271474200678766,-0.4754347876041044,1.3485580966473991,-0.2530526536856055
88499516d9fffff,2018,-1.3492445890115863,0.7630015875507545,-0.9315579276225794,0.559648587730494,-0.3412770273739779,0.36698552686777447,0.7877626629047108,0.6250236854972162,1.6354894976982515,0.21111483077253598,0.3763738714615737,-0.31441994734750495,-0.5747770919028418,0.5468263475636035,0.2541226559799471,-0.8022287852753829,-0.1375046401462618,-0.501795491713375,-0.18013348643771376,1.4136156141333456,-0.03235567623904446,0.338990195200486
88499516d9fffff,2019,-0.5254223761154245,0.7132229036177923,0.5438854407282615,-0.46559962983852876,-0.3412770273739779,-0.37923536218298565,1.1452453201541875,-0.6106211328310693,-0.6763777264320344,-0.5786639455694739,-0.2715862619690449,-0.7405271879111864,-0.9035659692986125,1.6940996124830492,2.069047941642167,-0.07556220938883762,-0.9174429860969863,-1.3642876411880747,-0.13335802847320366,0.5192080769841856,-0.06273228767801303,0.028786399876918226
88499516d9fffff,2020,-1.1591914419686866,0.5348492861913443,-0.33728212648126843,0.9736233834843089,-0.3412770273739779,1.2596422355440866,-0.7762239625617496,0.021911333694124457,1.6905339554156391,-0.5786639455694739,-0.2079737374541669,-0.5262276400253585,0.20246192098852187,0.40795714417484374,-0.04018955250581862,-0.07556220938883762,0.9457430625630777,1.622131805214022,-0.8038062592978497,-1.2922912464447291,-0.35299768587260133,0.30345219205788504
88499516d9fffff,2021,-0.5754567760512083,0.7206551376772277,-0.19042086527968013,0.40550903612003086,-0.3412770273739779,-0.8967756562020611,0.15782360542516416,0.4963106835880198,0.7043207546457751,-0.5786639455694739,-0.12845808181056922,-0.32532181388239445,-1.240183153299045,1.5562986337357418,-0.3038442392743167,1.486770928767235,-0.3481361378953,0.8408011360971943,-0.3847761150324458,-0.7697433646863884,-0.534413559744219,-0.5348917072481298
88499516d9fffff,2022,-0.6358431208012921,0.22730856649057202,-0.7930584543482667,1.2740056820907089,-0.3412770273739779,0.3524595362577763,2.3157955728432067,-0.6106211328310693,-0.6763777264320344,-0.5786639455694739,0.04428282527724619,-1.1173988066069531,1.2554270039455389,-0.2731281530819645,1.9235832868733407,0.35542624251628613,-0.6604518069714602,-1.1918560452450504,-0.6882117367418761,-0.4754347876041044,0.8230776343985756,-0.2530526536856055
88499516d9fffff,2023,-0.48328814459055386,0.8164918400225779,-1.2184496936907985,-0.9200911077299512,-0.3412770273739779,0.056588043306762155,0.4036255970006678,-0.6106211328310693,2.8117026468171686,1.2087301272045483,1.014056338752701,-0.8927926561458539,-0.2657649890872676,0.2870790926421176,-0.5952520509658148,1.6786364018741209,0.8912639383332513,-0.662460794542784,-1.4036809921409539,-0.4488806302733721,0.6018227029253864,-0.8798348309076722
88499516d9fffff,2024,0.10979696219974441,0.30218804606989075,-0.145723959696588,-0.9200911077299512,-0.3412770273739779,0.6783469777690383,0.19843436925068217,0.5444381538671107,-0.6763777264320344,-0.5786639455694739,1.1057631818748366,0.2657489499874844,-1.1670055046032988,0.08841864273181135,-0.22360150851868688,1.0112782345458216,0.36068464148624607,0.3387867448288943,-0.3082575669491982,-0.71673126073989,-0.47920003291372665,-0.5979957773451479
88499516ddfffff,2016,-1.6898593200754848,2.9672167965519987,-1.2184496936907985,-0.9200911077299512,-0.3412770273739779,-0.8967756562020611,-0.7762239625617496,-0.6106211328310693,2.3360553231922774,-0.5786639455694739,0.6305549947874077,-2.669223118883639,-1.0871753423897574,2.871671612687316,-2.149427046653804,1.818174927770038,-0.8421627417066807,1.7799763848335826,-2.1447027209471416,0.6712220062229757,0.9663904877391638,-1.669486986524119
88499516ddfffff,2019,-0.5754567760512083,1.5010397139179377,-0.19042086527968013,-0.9200911077299512,-0.3412770273739779,-0.8967756562020611,-0.7762239625617496,-0.6106211328310693,2.085019235723585,-0.5786639455694739,-1.7982868503261185,2.956140013119348,-2.923269073301206,1.5562986337357418,1.5417385681051707,1.486770928767235,0.2556741556519429,-0.9823037585087366,-0.9714183170040112,-0.7697433646863884,-0.534413559744219,-1.545754163198209
88499516ddfffff,2021,-1.548347885913672,1.6744585086380954,-0.5330971414167196,0.8473757507366916,-0.3412770273739779,-0.8967756562020611,0.4691727947541354,-0.6106211328310693,-0.6763777264320344,1.3080297979142161,2.6545898657153457,-1.4191424228829754,-1.8012117932997653,1.0204059386073225,0.31135002985217897,1.8918202608817725,1.0607545470482669,-0.5771693374851965,-2.1447027209471416,0.4495350260830734,-0.9577172654446603,-0.9591258033988117
88499516ddfffff,2022,-2.326660773803643,1.605090990750032,0.015184900402543675,0.6706290648900275,-0.3412770273739779,0.9146153728647033,1.4654902006068438,-0.6106211328310693,-0.6763777264320344,-0.5786639455694739,-1.7982868503261185,1.8310673867187506,0.10628558270268387,-0.3729150687265668,0.803505445153376,-0.7004954646512664,-0.7104223140236458,-0.7392231058946124,0.6711798485163718,0.9372463823908583,-0.2804313363239541,-1.8039922231574559
88499516ddfffff,2023,-2.326660773803643,2.853706312735168,-1.2184496936907985,0.6706290648900275,-0.3412770273739779,-0.8967756562020611,1.4654902006068438,-0.6106211328310693,-0.6763777264320344,-0.5786639455694739,-1.7982868503261185,0.7059947603181529,1.116137134703981,-0.3729150687265668,-0.6729608007502141,0.757682130961068,0.7387223904897376,0.7192608097901323,-0.7367614362153849,-0.5258876865324958,-0.2804313363239541,-1.8039922231574559
8849958001fffff,2016,-0.8256287757301276,0.9807833297574643,1.4250530079377914,-0.9200911077299512,-0.3412770273739779,-0.8967756562020611,-0.7762239625617496,-0.6106211328310693,-0.6763777264320344,1.8470851531952706,0.11008888512022341,-1.865599814311784,1.4046661495614938,0.1782888462626644,-0.04018955250581862,0.965993216048544,0.9457430625630777,0.9276156548879526,-1.1390303747101727,-0.9439259919391686,-0.7158294336158367,-1.3245438628645767
8849958001fffff,2017,-1.325972775087966,2.615874822833237,-1.2184496936907985,-0.9200911077299512,-0.3412770273739779,-0.8967756562020611,0.29125897228043757,-0.6106211328310693,0.901563394799748,-0.5786639455694739,0.11008888512022341,-1.0619765097399287,-0.9997423075844506,1.7859669316479219,1.3659687769261717,-0.07556220938883762,-0.08936029780362455,0.5803575797249182,-1.4742544901224957,-1.98902175545585,1.8239928005868107,-0.7325010139784845
8849958001fffff,2018,-0.09785568575508971,0.6970071202153879,-0.09696369906048746,-0.1970364838117791,-0.3412770273739779,0.7499434611313611,-0.7762239625617496,-0.6106211328310693,-0.6763777264320344,-0.5786639455694739,0.02334453350902603,-0.6236365254280075,-2.005222207845482,2.4332139530367916,0.5350570368072686,-0.17024906624678146,-0.18346060329150662,-0.8718125527750438,-2.1447027209471416,2.0013438870623883,0.9663904877391638,-0.6637859211915784
8849958001fffff,2019,-0.8256287757301276,0.08891524262522466,0.5438854407282615,-0.9200911077299512,-0.3412770273739779,0.39707507884562765,1.6256126408331715,-0.6106211328310693,0.5070781144918024,1.8470851531952706,-0.367005048741362,1.3488934039756373,-0.7593014618698561,-0.16621360060560483,1.5417385681051707,0.4452155033298534,0.4281913823797268,-0.11415857060115062,-1.1390303747101727,0.10116977157751288,-1.2600770552306897,-0.3054588606453951
8849958001fffff,2020,-0.09785568575508971,1.8321119583836931,-1.2184496936907985,-0.9200911077299512,-0.3412770273739779,-0.07341609753535004,-0.7762239625617496,-0.6106211328310693,-0.6763777264320344,-0.5786639455694739,-1.7982868503261185,1.4219500680276242,-0.1691284769340335,0.24092565478416794,-0.13606398405799983,1.1553669297644316,0.47524153512366785,-1.5347597871772005,0.4151905240196887,0.6712220062229757,-1.111645885699366,-0.6637859211915784
8849958001fffff,2021,-0.5754567760512083,1.3709756178778192,-1.2184496936907985,0.07410900015753541,-0.3412770273739779,0.2353437369646666,-0.7762239625617496,-0.6106211328310693,-0.6763777264320344,1.5438665158496776,0.7064563024472054,0.8466288386182277,-0.39864019329796435,-0.8552184943421439,0.6189471644154271,-0.33595106574818295,-1.2538515782161646,-0.3746021269734263,0.4951871879249021,0.7543546237754389,0.10054199880644293,-1.1310622890376598
