h3_8,año_hecho,umap_1,umap_2
8849958183fffff,2023,6.929252,6.425264
8849958189fffff,2018,7.81832,6.3766108
8849958189fffff,2019,5.8378563,7.147552
8849958189fffff,2020,7.383709,7.217131
8849958189fffff,2021,6.9787526,6.5579686
8849958189fffff,2022,5.7720356,7.6805954
8849958189fffff,2023,7.4209757,6.899388
884995818bfffff,2016,3.4763703,6.7978697
884995818bfffff,2017,4.866466,7.800032
884995818bfffff,2018,3.4266179,7.0772333
884995818bfffff,2019,3.7857935,4.5555787
884995818bfffff,2020,6.13019,6.452542
884995818bfffff,2021,5.2965918,8.307579
884995818bfffff,2022,3.2056391,5.8285856
884995818bfffff,2023,6.3003855,7.453756
884995818bfffff,2024,6.3111763,6.618354
8849958195fffff,2016,6.980855,8.358272
8849958195fffff,2017,3.3943624,7.662156
8849958195fffff,2018,4.0402083,5.330285
8849958195fffff,2019,4.6133304,4.368177
8849958195fffff,2020,5.2173576,5.9994774
8849958195fffff,2021,7.6543064,6.9044313
8849958195fffff,2022,3.0042965,5.304523
8849958195fffff,2023,4.681523,6.4236627
8849958195fffff,2024,6.1656017,5.099477
8849958199fffff,2016,5.570754,7.5136294
8849958199fffff,2017,3.4316046,8.025006
8849958199fffff,2018,5.110695,5.9827766
8849958199fffff,2019,4.33982,8.145491
8849958199fffff,2020,7.80191,7.1705647
8849958199fffff,2021,4.7084794,8.800159
8849958199fffff,2022,6.022085,5.978251
8849958199fffff,2023,7.1483655,6.3033504
8849958199fffff,2024,6.8180165,6.7185507
884995819dfffff,2016,6.311662,7.3561583
884995819dfffff,2017,5.298302,6.6650467
884995819dfffff,2018,2.9370108,6.850428
884995819dfffff,2019,4.4858265,5.2263765
884995819dfffff,2020,5.9442973,4.0775495
884995819dfffff,2021,5.7482452,7.2521834
884995819dfffff,2022,5.406017,6.6287327
884995819dfffff,2023,3.6744251,7.10668
884995819dfffff,2024,4.594226,6.281468
88499581b1fffff,2017,5.5871086,6.138033
88499581b1fffff,2019,3.481305,7.891756
