h3_8,max_cp_prob,bocpd_cp_year,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022,p_2023,p_2024,has_bocpd_cp
8849958597fffff,0.1500000000000001,2023,0.15000000000000002,0.15000000000000008,0.15,0.14999999999999997,0.15,0.15000000000000008,0.14999999999999994,0.1500000000000001,0.15,False
8849958599fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,False
884995859bfffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,0.15,False
884995859dfffff,0.15000000000000002,2016,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,0.14999999999999997,False
88499585a1fffff,0.15000000000000008,2021,0.15000000000000002,0.14999999999999997,0.15000000000000002,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15,False
88499585a3fffff,0.15000000000000008,2023,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,0.15000000000000008,0.15000000000000008,False
88499585a5fffff,0.15000000000000008,2019,0.14999999999999997,0.15000000000000002,0.15,0.15000000000000008,0.15,0.15,0.15,0.15,0.15000000000000002,False
88499585a7fffff,0.15000000000000008,2019,0.15,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,0.15,0.15000000000000002,False
88499585a9fffff,0.15000000000000008,2021,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15,False
88499585abfffff,0.1500000000000001,2023,0.14999999999999997,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15,0.1500000000000001,0.15000000000000002,False
88499585adfffff,0.15000000000000008,2021,0.15,0.14999999999999997,0.15,0.14999999999999997,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,False
88499585b1fffff,0.15000000000000008,2016,0.15000000000000008,0.15,0.14999999999999994,0.15000000000000008,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,False
88499585b3fffff,0.15000000000000008,2024,0.15000000000000002,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.14999999999999997,0.15000000000000008,False
88499585b5fffff,0.15000000000000008,2019,0.14999999999999997,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15000000000000002,0.15000000000000008,0.15000000000000008,0.14999999999999997,False
