h3_8,n_años,tipo,n_changepoints,changepoints
884995bb09fffff,9,fluctuante,0,
884995bb0bfffff,9,fragmentada,0,
884995bb0dfffff,9,fluctuante,0,
884995bb11fffff,9,monotónica,0,
884995bb13fffff,9,estable,1,2020
884995bb15fffff,9,fragmentada,0,
884995bb17fffff,9,fluctuante,1,2022
884995bb19fffff,9,estable,0,
884995bb1bfffff,9,fluctuante,0,
884995bb1dfffff,9,fluctuante,0,
884995bb21fffff,9,fragmentada,0,
884995bb23fffff,9,fragmentada,0,
884995bb25fffff,9,estable,0,
884995bb29fffff,8,fluctuante,0,
884995bb2bfffff,9,fluctuante,0,
884995bb2dfffff,9,fragmentada,0,
884995bb31fffff,9,fragmentada,0,
884995bb33fffff,9,fragmentada,0,
884995bb35fffff,9,fragmentada,0,
884995bb37fffff,9,fragmentada,0,
884995bb39fffff,9,fluctuante,0,
884995bb3bfffff,9,fluctuante,0,
884995bb3dfffff,9,fragmentada,0,
884995bb41fffff,9,fragmentada,0,
884995bb43fffff,9,monotónica,0,
884995bb45fffff,9,fluctuante,0,
884995bb47fffff,9,fragmentada,0,
884995bb49fffff,9,fragmentada,0,
884995bb4bfffff,9,fragmentada,0,
884995bb4dfffff,9,fluctuante,0,
884995bb51fffff,9,fragmentada,0,
884995bb53fffff,9,fluctuante,0,
884995bb55fffff,9,fragmentada,0,
884995bb57fffff,9,fluctuante,0,
884995bb59fffff,9,fluctuante,0,
884995bb5bfffff,9,fragmentada,0,
884995bb5dfffff,9,fragmentada,0,
884995bb61fffff,9,fragmentada,0,
884995bb63fffff,9,fluctuante,0,
884995bb65fffff,9,fluctuante,0,
884995bb67fffff,9,fragmentada,0,
884995bb69fffff,9,fragmentada,0,
884995bb6bfffff,9,fragmentada,0,
884995bb6dfffff,9,fluctuante,0,
