h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16
884995800dfffff,2021,-0.72521424,1.478656,-1.4057825,0.9019302,0.73117936,-1.010773,0.49190974,0.51727504,0.32465497,1.0699224,1.1312187,1.328066,-2.0555415,0.35252348,0.029844198,0.081397675
884995800dfffff,2022,-0.26535985,0.47974512,-0.6753389,1.6802107,-0.32218418,-1.749273,-0.06372721,0.00073514675,-1.9056705,0.74197316,0.785792,1.8350466,-0.66372675,0.11250429,-0.83244437,-0.3999733
884995800dfffff,2024,-0.040382344,0.111697234,-1.2463031,1.5151025,0.74284714,0.09048213,1.0382068,0.76806504,-0.5418909,0.2718228,0.25752825,1.3795586,-1.9189698,0.13296159,-0.48815516,-1.359
8849958019fffff,2018,-0.8455251,-1.0642884,-0.08628117,1.6817312,-0.77726334,-1.4819299,-3.1102586,-1.7479105,2.0565872,0.6794866,0.35435915,0.94972944,-1.5653801,-0.5589569,1.3379096,-0.13531418
8849958019fffff,2019,-0.006051336,0.04499281,-0.52366465,0.9964412,-1.3034903,-0.6109072,0.005543493,-0.30263582,-0.0989916,1.1470058,2.1163747,1.8270243,-1.2146811,-0.33552486,0.7396758,0.31406024
8849958019fffff,2020,0.27344266,0.19744247,-1.9391841,1.5545428,0.80166215,-0.5085032,-2.182073,1.029639,-0.8876216,1.2587903,-0.23556705,-1.8037499,-3.128459,-0.9313915,-0.49384627,0.4540353
8849958019fffff,2021,-0.7844175,-0.12689897,-2.336688,1.5517533,-0.58247876,0.12964728,0.020826846,0.8734473,1.0071803,-1.249599,-1.2580161,0.23647875,-2.6255672,-1.9458295,-0.2580975,-2.2388241
8849958027fffff,2016,-1.2861364,1.5073329,-1.1121713,2.320821,0.07642829,1.5311081,0.2794862,2.9075239,2.9940565,1.334662,-1.0610453,1.9934405,0.35667634,1.0291663,1.5100898,0.91861516
8849958027fffff,2017,-0.44739923,1.0336182,0.043659944,1.7544324,-0.3466031,0.0090513015,-0.6653932,1.1902618,0.19896807,2.079267,0.010552779,-1.1296185,-2.0168173,0.48554152,0.33282915,1.1332451
8849958027fffff,2018,0.1527324,2.133015,-2.1028712,0.19002414,0.34501648,1.1541467,-0.7644134,-0.28500813,1.7716159,1.7155546,0.8369634,-1.2981379,-3.174373,-0.41729838,0.9321084,1.7767274
8849958027fffff,2024,-0.14675888,-0.5375331,-1.345851,3.6847353,-2.125146,-0.2173725,-1.9077612,-1.5161417,0.26485783,-0.25224653,1.4598514,-0.10873612,-0.97249335,-2.5239296,1.0039579,0.233394
8849958083fffff,2016,-0.846743,0.90488285,-0.14684126,1.6911577,-0.083621204,0.29326427,-1.92547,0.7607112,-1.0935417,-0.012947636,0.84020334,-0.412359,-1.1563482,0.047268853,-1.4510124,-1.1879281
8849958083fffff,2017,-0.92175734,0.7832916,-1.9108868,0.8146936,-0.42113814,0.46103457,-0.54603976,-0.10321631,-0.008639132,-0.6041954,0.08215291,-1.5360723,-2.2245362,-0.46185172,-0.4763971,1.0202364
8849958083fffff,2018,-1.0873792,0.4439187,-0.66069055,0.71258736,-0.16181715,-0.3092577,0.106745526,0.956471,0.97484744,0.76080716,-0.5938142,0.6539028,-1.6001287,0.34067366,1.3623587,-0.66236335
8849958083fffff,2019,-0.58357173,0.6104483,-1.0488268,2.9177978,0.38195363,0.79611427,0.32182473,-0.5594656,-0.11604504,0.7341893,1.1899832,1.0152197,-0.75715244,-1.6883491,-1.5334473,0.7091796
8849958083fffff,2020,-0.11242812,0.7486045,-2.1528127,3.0010464,-0.47353467,-0.4357645,-0.07969998,1.2416053,0.16449071,-0.74506205,-2.0989347,-1.2134808,-3.537231,-1.3819778,-1.3159392,-0.30250943
