from,0,1,2,3,4
0,0.3496199782844734,0.17155266015200868,0.18132464712269272,0.1758957654723127,0.12160694896851248
1,0.1926070038910506,0.32782101167315175,0.1575875486381323,0.18093385214007782,0.14105058365758755
2,0.1544058205335489,0.16976556184316896,0.38237671786580435,0.16168148746968472,0.13177041228779304
3,0.1812206572769953,0.18685446009389672,0.12582159624413145,0.3427230046948357,0.16338028169014085
4,0.1326530612244898,0.14749536178107606,0.09369202226345083,0.1614100185528757,0.4647495361781076
