h3_8,año_hecho,cm_transeunte,cm_vehiculo,cm_negocio,cm_repartidor,cm_metro,cm_violacion,cm_homicidio,cm_microbus,cm_lesiones,cm_casa,hr_madrugada,hr_manana,hr_tarde,hr_noche,ds_0,ds_1,ds_2,ds_3,ds_4,ds_5,ds_6,log_n
88499516d9fffff,2016,0.2,0.5714285714285714,0.02857142857142857,0.08571428571428572,0.0,0.05714285714285714,0.02857142857142857,0.0,0.02857142857142857,0.0,0.22857142857142856,0.17142857142857143,0.2857142857142857,0.3142857142857143,0.17142857142857143,0.2571428571428571,0.11428571428571428,0.2,0.11428571428571428,0.02857142857142857,0.11428571428571428,3.58351893845611
88499516d9fffff,2017,0.1724137931034483,0.4482758620689655,0.10344827586206896,0.10344827586206896,0.0,0.0,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,0.13793103448275862,0.2413793103448276,0.13793103448275862,0.4827586206896552,0.10344827586206896,0.1724137931034483,0.10344827586206896,0.1724137931034483,0.13793103448275862,0.10344827586206896,0.20689655172413793,3.4011973816621555
88499516d9fffff,2018,0.13953488372093023,0.46511627906976744,0.023255813953488372,0.09302325581395349,0.0,0.06976744186046512,0.06976744186046512,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.16279069767441862,0.20930232558139536,0.23255813953488372,0.3953488372093023,0.16279069767441862,0.09302325581395349,0.13953488372093023,0.11627906976744186,0.13953488372093023,0.23255813953488372,0.11627906976744186,3.784189633918261
88499516d9fffff,2019,0.2571428571428571,0.45714285714285713,0.14285714285714285,0.02857142857142857,0.0,0.02857142857142857,0.08571428571428572,0.0,0.0,0.0,0.11428571428571428,0.17142857142857143,0.2,0.5142857142857142,0.2857142857142857,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.14285714285714285,0.17142857142857143,0.11428571428571428,3.58351893845611
88499516d9fffff,2020,0.16666666666666666,0.42857142857142855,0.07142857142857142,0.11904761904761904,0.0,0.11904761904761904,0.0,0.023809523809523808,0.07142857142857142,0.0,0.11904761904761904,0.19047619047619047,0.30952380952380953,0.38095238095238093,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2619047619047619,0.09523809523809523,0.047619047619047616,0.09523809523809523,3.7612001156935624
88499516d9fffff,2021,0.25,0.4583333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.125,0.20833333333333334,0.16666666666666666,0.5,0.125,0.25,0.125,0.20833333333333334,0.125,0.08333333333333333,0.08333333333333333,3.2188758248682006
88499516d9fffff,2022,0.2413793103448276,0.3793103448275862,0.034482758620689655,0.13793103448275862,0.0,0.06896551724137931,0.13793103448275862,0.0,0.0,0.0,0.13793103448275862,0.13793103448275862,0.41379310344827586,0.3103448275862069,0.27586206896551724,0.1724137931034483,0.10344827586206896,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.1724137931034483,3.4011973816621555
88499516d9fffff,2023,0.2631578947368421,0.47368421052631576,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.2631578947368421,0.3684210526315789,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,2.995732273553991
88499516d9fffff,2024,0.34782608695652173,0.391304347826087,0.08695652173913043,0.0,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.21739130434782608,0.2608695652173913,0.17391304347826086,0.34782608695652173,0.13043478260869565,0.21739130434782608,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.08695652173913043,3.1780538303479458
88499516ddfffff,2016,0.09090909090909091,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.18181818181818182,0.6363636363636364,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0,0.18181818181818182,0.18181818181818182,2.4849066497880004
88499516ddfffff,2019,0.25,0.5833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.5,0.0,0.5,0.25,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,2.5649493574615367
88499516ddfffff,2021,0.1111111111111111,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.16666666666666666,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.0,0.16666666666666666,0.05555555555555555,2.9444389791664403
