year,moran_I,E_I,z_norm,p_norm,n_cells,sig
2016,0.1730483296307472,-0.0014858841010401188,6.778887501482425,1.2110477868354917e-11,674,***
2017,0.1529748332800439,-0.0014792899408284023,6.116858799522658,9.543785857162648e-10,677,***
2018,0.24843958735831329,-0.001364256480218281,10.272764676636786,9.348644654443177e-25,734,***
2019,0.12940631354740875,-0.0013850415512465374,5.3972870347947755,6.76561055937578e-08,723,***
2020,0.10856200043834995,-0.0013986013986013986,4.454713418076182,8.400532929241484e-06,716,***
2021,0.043807929599062885,-0.001447178002894356,1.7616732386128655,0.0781245218721371,692,ns
2022,0.08357524423003017,-0.00145985401459854,3.336799401007572,0.0008474909249056167,686,***
2023,0.06560664167143006,-0.0014992503748125937,2.633821931417051,0.008442975403157964,668,**
2024,0.11915142454450739,-0.0015313935681470138,4.538585887446787,5.663272891879983e-06,654,***
