h3_8,n_años,año_inicio,año_fin,tipo,n_cambios,n_clusters,cluster_inicio,cluster_fin,path_length_ae,net_disp_ae,drift_idx,max_step_ae,path_length_umap,net_disp_umap,is_atipica,secuencia,años
88499516d9fffff,9,2016,2024,fluctuante,2,2,2,2,19.42375219717225,2.0968002322121393,0.10795031829727503,3.4391967739675278,13.577833681535177,0.7611418421404775,False,"2,2,2,2,2,2,0,2,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
88499516ddfffff,5,2016,2023,estable,0,1,2,2,16.581853851937936,4.84803579706474,0.2923699509327267,5.270151330920122,10.852314721175262,2.354538285367506,True,"2,2,2,2,2","2016,2019,2021,2022,2023"
8849958001fffff,9,2016,2024,fragmentada,5,4,1,4,32.688021977515675,4.105923559495606,0.12560942238474537,5.141315760668623,31.84154247466312,3.131387519156697,False,"1,2,2,0,2,0,0,0,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995800dfffff,7,2016,2024,fragmentada,4,4,2,4,25.39247199355404,5.38517106754201,0.21207746409680212,6.828830250270294,11.998638475557524,5.273033093708482,False,"2,1,2,2,2,3,4","2016,2018,2019,2020,2021,2022,2024"
8849958019fffff,4,2018,2021,monotónica,2,3,3,1,15.05755102038361,5.154316717366025,0.34230777039297805,5.603280783908832,14.624980358237028,4.426071918336006,False,"3,3,2,1","2018,2019,2020,2021"
8849958027fffff,4,2016,2024,monotónica,1,2,2,3,16.885736750780637,8.120185243488857,0.4808901952775887,7.1335304978683975,13.490867219304215,5.489068573403415,True,"2,2,2,3","2016,2017,2018,2024"
8849958083fffff,8,2016,2024,fragmentada,5,4,1,2,29.988484093244463,2.9462043411510774,0.098244523864238,6.406816715122759,27.17040680371718,2.7287696279788816,False,"1,1,2,3,0,0,3,2","2016,2017,2018,2019,2020,2021,2022,2024"
8849958087fffff,9,2016,2024,fragmentada,5,4,2,2,29.393027759223127,2.5996152166342545,0.08844326069193505,5.189025262084779,26.08077140669294,3.21456479875823,False,"2,1,1,1,2,2,3,0,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995808bfffff,8,2016,2023,fluctuante,6,3,0,0,23.50819137300287,3.1716434190135714,0.13491652201946638,4.073109368649575,18.521535220928612,2.563867398082826,False,"0,1,1,2,0,2,1,0","2016,2017,2018,2019,2020,2021,2022,2023"
8849958091fffff,7,2016,2023,fragmentada,6,4,3,0,37.806228331584194,5.3970631011594214,0.14275592513021435,8.01317875909296,29.401279204787883,6.768009912324849,False,"3,0,1,0,2,3,0","2016,2018,2019,2020,2021,2022,2023"
8849958099fffff,4,2016,2020,monotónica,1,2,0,2,13.810999009381776,3.281613215271151,0.23760867791257964,5.79406489843165,10.653308221382385,3.213606736578844,False,"0,0,2,2","2016,2018,2019,2020"
884995809dfffff,7,2017,2024,fluctuante,4,3,0,0,25.394812529743625,2.664923355997585,0.10493967430853442,5.432193971292124,28.53164047071351,5.430121142396088,False,"0,0,3,0,1,0,0","2017,2018,2019,2020,2021,2022,2024"
88499580a1fffff,7,2016,2022,fluctuante,5,3,2,3,19.142548758638295,3.8360487901771996,0.20039383671132813,4.566491969838139,18.23877102599228,0.31970283671386185,False,"2,2,4,2,3,2,3","2016,2017,2018,2019,2020,2021,2022"
88499580a5fffff,5,2018,2022,fragmentada,4,4,1,2,27.819052945022204,5.291261676437504,0.19020279687070707,9.304344818017872,21.20220646176421,1.0083919929309486,False,"1,0,2,3,2","2018,2019,2020,2021,2022"
88499580abfffff,7,2016,2024,fluctuante,6,3,2,2,27.8694027466625,2.5583000961692073,0.09179601441138083,7.9616773724425896,24.68257438003597,4.264580271023945,False,"2,0,2,0,3,0,2","2016,2017,2018,2019,2022,2023,2024"
88499580b7fffff,4,2018,2022,fluctuante,2,2,2,2,17.500371347581194,4.510038225647136,0.25771100144514875,6.9903875239814,9.872785338587146,1.3722323890450192,False,"2,4,2,2","2018,2020,2021,2022"
88499580d3fffff,9,2016,2024,fluctuante,5,2,2,0,28.79701151316755,4.9000993462334925,0.17015999538677484,5.45398434469175,24.888544110395713,6.105199413784211,False,"2,0,2,0,2,0,0,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
88499580d7fffff,9,2016,2024,fragmentada,8,4,1,3,38.558289247063996,4.338298575346654,0.11251273487650885,7.159580861321012,30.006799971385767,0.5681420157503224,False,"1,0,3,1,3,0,3,2,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
88499580dbfffff,7,2017,2023,fragmentada,5,4,1,0,26.207128318913806,5.767519555341194,0.22007445780233573,5.815102626468023,18.450552034629496,7.597116248167487,False,"1,0,3,3,0,4,0","2017,2018,2019,2020,2021,2022,2023"
8849958115fffff,3,2020,2024,fluctuante,2,2,2,2,10.164352198564073,5.858953177817412,0.5764217004055715,6.993318368217198,7.53197180780073,2.1696012212255438,True,"2,3,2","2020,2022,2024"
884995813bfffff,6,2018,2024,fragmentada,3,4,4,0,24.809463722186443,5.397829807824794,0.21757140211771925,6.075263041313831,18.60848096392034,2.380517235118776,False,"4,4,3,3,2,0","2018,2019,2020,2021,2023,2024"
8849958183fffff,5,2016,2023,fluctuante,3,3,2,3,16.412760660352752,6.7212795253583995,0.409515477892428,6.593068679710004,12.877182480594627,3.552427312877105,False,"2,3,3,0,3","2016,2018,2019,2020,2023"
8849958189fffff,6,2018,2023,fluctuante,3,3,2,0,19.54096604232827,2.8335115721131614,0.14500365877385013,4.326254025633145,12.86343543890353,0.27346743006480684,False,"2,2,0,0,4,0","2018,2019,2020,2021,2022,2023"
884995818bfffff,9,2016,2024,fragmentada,6,5,1,0,27.720061193292054,4.5156171048150995,0.16290069034580013,4.884744157721103,27.050013586325345,2.5582791004564687,False,"1,2,1,3,4,2,2,0,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958195fffff,9,2016,2024,fragmentada,7,4,2,0,24.585456928798948,2.9102236558183683,0.11837175384808026,4.5499358690614775,24.684299807775023,2.4202962989225103,False,"2,1,0,3,3,0,3,1,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958199fffff,9,2016,2024,fluctuante,5,3,2,2,27.251364246696127,2.775961532327454,0.10186504819346807,5.335126234373219,21.427450106790005,2.5958679116074,False,"2,1,1,2,2,2,3,1,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995819dfffff,9,2016,2024,fluctuante,3,3,0,1,15.81042614643611,2.3261705804464943,0.14712889829164064,2.508769688558811,11.756218739974944,0.9270367460396638,False,"0,1,1,1,3,1,1,1,1","2016,2017,2018,2019,2020,2021,2022,2023,2024"
88499581b1fffff,7,2017,2024,fragmentada,5,4,0,1,28.204389400627605,3.0619829013397344,0.10856405568104939,7.441196898312658,15.62138851075445,3.212922017078914,False,"0,3,0,2,0,0,1","2017,2019,2020,2021,2022,2023,2024"
88499581b3fffff,5,2016,2022,fluctuante,2,2,0,0,18.512953277295406,4.933556147640816,0.2664921189906211,6.357101196412234,14.372024393695407,3.2577741878907984,False,"0,0,3,3,0","2016,2018,2019,2020,2022"
88499581b9fffff,9,2016,2024,fragmentada,8,4,1,3,39.8902814947165,6.0775372284304385,0.1523563384539017,7.043858630881127,36.505919113473546,5.503489530895557,False,"1,0,1,3,1,2,3,1,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
88499581bbfffff,9,2016,2024,fragmentada,4,4,0,1,22.079284529750154,2.544798878100849,0.11525730712296979,3.3602682198866973,11.744383072412326,1.3269779242969946,False,"0,2,1,4,1,1,1,1,1","2016,2017,2018,2019,2020,2021,2022,2023,2024"
88499581c1fffff,5,2018,2022,fragmentada,3,4,1,0,21.14301368665153,7.046166076890278,0.3332621442391071,7.683368417721907,17.378465480791366,5.032817576362904,False,"1,1,4,2,0","2018,2019,2020,2021,2022"
88499581c3fffff,3,2019,2023,estable,0,1,0,0,12.00529366227347,6.6038033544576225,0.5500742872463017,7.257064343372427,8.484751370456715,7.078090630954168,True,"0,0,0","2019,2020,2023"
88499581c7fffff,6,2017,2022,fluctuante,4,3,2,0,24.031927469239374,3.709830318570177,0.15437090193113817,5.984560788710228,15.723434872361496,3.3578912441702773,False,"2,0,2,2,3,0","2017,2018,2019,2020,2021,2022"
88499581cdfffff,6,2016,2024,fluctuante,2,2,0,0,13.788644322437726,3.860005053028107,0.27994086748229996,4.143030262856745,17.364213012120832,5.224026339594135,False,"0,0,0,2,0,0","2016,2018,2019,2021,2022,2024"
88499581d3fffff,5,2018,2022,monotónica,1,2,2,4,17.381683554971627,4.950688297716761,0.28482213946995555,5.921512702119656,13.576679301313021,0.7729172043150419,False,"2,4,4,4,4","2018,2019,2020,2021,2022"
88499581d5fffff,4,2018,2023,monotónica,1,2,3,0,16.36458046251464,8.249631484622963,0.5041150613986041,6.138692014866975,12.98523453815309,2.793028536457735,True,"3,0,0,0","2018,2019,2020,2023"
88499581d7fffff,8,2016,2023,fluctuante,6,3,0,0,26.837538908808,3.2022280801116705,0.11931899161814383,6.322051764744398,32.50863771257501,5.962996908041288,False,"0,2,0,4,0,0,4,0","2016,2017,2018,2019,2020,2021,2022,2023"
88499582bbfffff,3,2018,2022,monotónica,2,3,0,2,10.935074275487395,5.3213330871761055,0.48662980727114674,7.465096644181618,9.080361161664886,5.383489128216968,True,"0,4,2","2018,2019,2022"
8849958401fffff,9,2016,2024,fluctuante,6,3,2,3,18.548767560416643,3.5483776759674672,0.19129991598685836,3.7272968105297366,10.755266290121167,3.494674713323934,False,"2,3,2,2,1,1,3,1,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958403fffff,9,2016,2024,fragmentada,3,4,2,3,17.980004063784634,2.835772123876752,0.1577181024996858,3.8007468818869317,24.526846588208016,5.572870468135379,False,"2,2,2,2,0,0,0,1,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958405fffff,9,2016,2024,fluctuante,5,3,1,1,21.37414755807822,2.8888034438184116,0.13515408911484786,3.5290695889729413,20.01493885538156,3.083436819009796,False,"1,3,4,1,1,1,3,3,1","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958407fffff,9,2016,2024,fragmentada,5,4,3,1,25.204128633257675,2.521424743169614,0.10004014738452459,5.324306994802535,19.107274239871554,2.289661344988968,False,"3,2,3,0,0,3,3,3,1","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958409fffff,9,2016,2024,fragmentada,6,5,2,3,24.088095720310694,4.271860646840764,0.17734322781019174,4.214359960871677,24.918328421503897,5.035217223268566,False,"2,1,0,0,3,4,0,3,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995840bfffff,9,2016,2024,fragmentada,4,4,2,3,25.43661659728084,2.621609577432202,0.10306439802660117,4.806514849533876,11.305031003779405,1.638152643145626,False,"2,3,1,1,1,1,0,0,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995840dfffff,7,2016,2023,fluctuante,3,3,2,4,28.510570978234483,7.918473795227255,0.27773816951166536,7.059387992791054,16.63274894991524,6.417947653823811,False,"2,2,2,3,3,2,4","2016,2017,2018,2019,2020,2022,2023"
8849958411fffff,9,2016,2024,fluctuante,4,3,2,3,29.29780015044407,3.0377888228452523,0.10368658422291847,5.663494348172372,21.611199306906926,3.2578322739145977,False,"2,2,3,3,2,4,3,3,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958415fffff,9,2016,2024,fragmentada,6,4,2,2,26.40949245755468,2.4309029468225662,0.09204656055884118,5.500229488478951,23.92117853816088,1.8750998697106027,False,"2,2,1,3,2,2,3,0,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958419fffff,9,2016,2024,fluctuante,4,3,2,3,39.959215474603745,4.428193581855377,0.11081783086231346,8.214154287756447,25.444771223412857,5.819371392288486,False,"2,2,1,2,2,1,1,3,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995841bfffff,9,2016,2024,fluctuante,6,3,1,3,33.297602600242904,3.9057235482801924,0.11729744015419598,6.742501429686723,23.89867100093609,5.4106204434002105,False,"1,2,3,3,2,2,3,2,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995841dfffff,9,2016,2024,fragmentada,5,4,2,2,20.77631868046931,2.738635356716477,0.13181523631955644,3.573091325711448,29.30342161864565,4.5100181083005255,False,"2,2,4,2,1,0,0,0,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958421fffff,9,2016,2024,fragmentada,6,4,2,2,22.12334290805944,2.6284040207791377,0.11880682009505993,3.314843019743652,22.70579553140722,2.212428377990994,False,"2,2,3,2,2,1,2,0,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
8849958423fffff,9,2016,2024,fragmentada,8,4,0,0,24.858826774870323,2.4618355713275246,0.0990326532150014,4.35579391559711,24.375407485584084,5.319820669612182,False,"0,2,4,1,2,1,0,1,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
