h3_8,año_hecho,umap_1,umap_2
8849958189fffff,2019,11.411398,4.0889196
8849958189fffff,2020,9.7367115,4.1320853
8849958189fffff,2021,10.743592,3.5978694
8849958189fffff,2022,12.071135,4.3859787
8849958189fffff,2023,9.751512,3.7318647
884995818bfffff,2016,13.064501,2.368576
884995818bfffff,2017,12.396929,3.2412086
884995818bfffff,2018,13.231448,1.6293352
884995818bfffff,2019,11.244188,-0.70710003
884995818bfffff,2020,11.233645,3.8005016
884995818bfffff,2021,12.181812,4.657461
884995818bfffff,2022,12.692743,3.5882695
884995818bfffff,2023,9.712121,3.81622
884995818bfffff,2024,11.253894,3.8556168
8849958195fffff,2016,14.135231,3.3786316
8849958195fffff,2017,12.509934,2.5208545
8849958195fffff,2018,11.867149,0.7590097
8849958195fffff,2019,11.1637,1.3283186
8849958195fffff,2020,11.161948,1.6710461
8849958195fffff,2021,11.261341,4.416062
8849958195fffff,2022,12.694412,1.6629012
8849958195fffff,2023,12.159791,2.5068846
8849958195fffff,2024,11.143327,3.1981604
8849958199fffff,2016,12.83568,4.1323085
8849958199fffff,2017,13.010412,2.7910037
8849958199fffff,2018,11.341707,1.6187516
8849958199fffff,2019,12.142954,3.7814286
8849958199fffff,2020,12.118155,3.6979156
8849958199fffff,2021,13.652275,4.0151315
8849958199fffff,2022,9.701859,2.5425875
8849958199fffff,2023,11.859252,2.5660412
8849958199fffff,2024,9.897537,3.6084507
884995819dfffff,2016,12.243151,3.6583107
884995819dfffff,2017,11.701367,1.902452
884995819dfffff,2018,12.427245,1.7811898
884995819dfffff,2019,10.6779175,1.6400695
884995819dfffff,2020,9.361821,1.5182157
884995819dfffff,2021,10.771722,1.2968249
884995819dfffff,2022,11.777773,3.2805464
884995819dfffff,2023,12.146849,2.52293
884995819dfffff,2024,12.050094,2.333654
88499581b1fffff,2017,10.309973,2.4457033
88499581b1fffff,2019,13.431924,2.8142917
88499581b1fffff,2020,11.516818,5.105356
88499581b1fffff,2021,11.982433,5.4127154
88499581b1fffff,2022,10.082828,3.6712735
88499581b1fffff,2023,10.722274,3.7320685
88499581b1fffff,2024,10.773485,1.9919791
88499581b3fffff,2016,10.087881,4.2064366
88499581b3fffff,2018,13.945016,3.415897
88499581b3fffff,2019,9.9202385,2.2113307
88499581b3fffff,2020,11.818885,0.0025051844
88499581b3fffff,2022,9.298714,3.5479286
88499581b9fffff,2016,12.385189,2.4285257
88499581b9fffff,2017,8.955603,1.7409524
88499581b9fffff,2018,12.486256,1.7838148
88499581b9fffff,2019,11.665175,0.60138446
88499581b9fffff,2020,12.883021,4.0356565
88499581b9fffff,2021,11.839121,3.2831264
88499581b9fffff,2022,10.587477,3.10739
88499581b9fffff,2023,10.365374,2.4264858
88499581b9fffff,2024,10.870695,3.1262882
88499581bbfffff,2016,12.080053,2.659716
88499581bbfffff,2017,13.895038,2.610297
88499581bbfffff,2018,12.73447,1.3759787
