año,cluster_0_count,cluster_1_count,cluster_2_count,cluster_3_count,cluster_4_count,cluster_0_pct,cluster_1_pct,cluster_2_pct,cluster_3_pct,cluster_4_pct
2016,79,83,335,94,83,11.72106824925816,12.314540059347182,49.70326409495549,13.94658753709199,12.314540059347182
2017,46,92,304,101,134,6.794682422451995,13.58936484490399,44.903988183161005,14.918759231905465,19.79320531757755
2018,89,145,96,192,212,12.125340599455042,19.754768392370572,13.079019073569482,26.158038147138964,28.882833787465938
2019,89,162,159,119,194,12.309820193637622,22.40663900414938,21.991701244813278,16.459197786998615,26.832641770401107
2020,133,177,165,107,134,18.575418994413408,24.720670391061454,23.044692737430168,14.94413407821229,18.71508379888268
2021,176,150,93,129,144,25.43352601156069,21.67630057803468,13.439306358381502,18.641618497109828,20.809248554913296
2022,181,121,60,215,109,26.384839650145775,17.63848396501458,8.746355685131196,31.341107871720116,15.889212827988338
2023,213,138,86,144,87,31.886227544910177,20.65868263473054,12.874251497005988,21.55688622754491,13.023952095808383
2024,176,113,136,127,102,26.911314984709477,17.2782874617737,20.795107033639145,19.418960244648318,15.59633027522936
