h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
8849958087fffff,2020,-0.8731834,1.5900155,-0.24313198,0.92727005,-1.860358,-1.8643429,-1.2647362,-1.0412924
8849958087fffff,2021,-0.78419363,0.17073168,-0.037860487,0.40802258,0.81271565,-1.4374686,2.8735409,-1.4142017
8849958087fffff,2022,0.36230123,0.47442886,-1.6276673,0.3141677,1.3366618,0.34811112,-0.8752816,-0.13122505
8849958087fffff,2023,0.9425462,0.58531106,0.50039744,0.85725784,-0.7125716,-0.6862411,-1.2730508,-1.0983244
8849958087fffff,2024,-0.77795047,2.8542721,-0.7907242,-0.38052803,0.054938603,-0.4274373,-0.5351126,-0.9523404
884995808bfffff,2016,1.1708939,-0.53683466,-1.4525695,-0.5420957,0.19256748,-1.3911241,-1.750808,-0.17948386
884995808bfffff,2017,1.0664864,-2.9224255,-1.0992832,0.7208727,-1.0593536,-1.8222412,-0.2773287,-2.2276084
884995808bfffff,2018,0.47480652,-1.157459,-0.04805702,-0.06762386,-0.76089096,0.589448,0.017982405,0.09740588
884995808bfffff,2019,-0.611987,1.7368724,-0.11850546,0.73520637,0.59456116,-0.1965034,-0.52182466,-1.0686444
884995808bfffff,2020,-0.5021484,1.3177952,0.22491547,-0.26036063,-0.35663167,-1.3108097,-1.7869334,-0.22376779
884995808bfffff,2021,-0.78978103,-0.3551189,-0.46218824,-0.22179708,0.13008308,-1.8778152,0.78168017,-1.177377
884995808bfffff,2022,0.30259296,0.08466104,-2.0495632,0.667126,0.6427214,-0.31009504,-0.9753218,-2.1204066
884995808bfffff,2023,1.6175513,1.426226,-0.49839887,0.864895,0.63676775,-0.5478928,-1.4954312,-1.6432384
8849958091fffff,2016,-0.5097391,0.7330512,-1.3034477,-1.2087408,2.5655198,-1.2717258,-4.660869,2.8493245
8849958091fffff,2018,0.8584282,1.7578983,0.12540887,0.28847778,-1.8942608,0.035763614,-0.7162679,-0.74444664
8849958091fffff,2019,2.6016822,1.7450169,-1.7631344,1.0068433,0.006474497,0.8833787,0.40257075,-0.94450337
8849958091fffff,2020,2.2445529,0.6680995,-2.0488992,-2.373348,0.38418257,-0.08218806,-2.9777324,-0.40426925
8849958091fffff,2021,-0.96367353,2.8105235,0.3945061,1.0013692,0.7140768,-1.4429451,0.056636747,-1.0206496
8849958091fffff,2022,-0.5992174,-0.3666973,-2.0611098,-3.2727556,0.5028116,1.7074392,-2.9628553,2.234868
8849958091fffff,2023,0.88796,0.93172026,0.39512596,-1.3716902,0.66891855,-3.5833325,-2.4762602,-0.3926526
8849958099fffff,2016,1.0994875,2.5500479,-0.9937965,-0.094235785,-0.59325665,-2.381227,-1.5569175,-2.1937125
8849958099fffff,2018,0.3308917,1.2368634,0.7667268,0.10729542,-0.75429654,0.53158325,-2.1862512,0.24654523
8849958099fffff,2019,-0.2715207,-0.5359156,0.0009166439,1.1828269,-2.8424578,2.032348,-1.8133961,-0.315848
8849958099fffff,2020,0.085317254,0.904963,-1.233036,0.6539988,0.94551945,-1.4209859,-0.17366384,-1.0920031
884995809dfffff,2017,-0.117202364,-0.7165817,1.803214,-0.33862826,-1.9557893,-2.0344548,-0.21156034,2.949308
884995809dfffff,2018,0.24124722,0.720323,0.42035106,0.35036993,-0.72341627,-0.4547823,0.5162602,-0.32722944
884995809dfffff,2019,1.2336831,-0.95053357,1.1810193,-2.0128243,-0.95283556,0.7725815,0.0152883455,1.3369857
884995809dfffff,2020,0.55782986,0.72277015,0.629268,-0.0039221393,0.43868044,-2.1246839,-0.78149486,-0.7141914
884995809dfffff,2021,0.48204887,-0.21691522,1.702298,-0.778701,0.84002066,-1.6502026,2.2680688,-1.0714343
884995809dfffff,2022,1.4290994,0.95548266,1.8821725,-2.1822042,-1.1080424,-0.38722032,0.912914,-1.2314045
884995809dfffff,2024,-0.15997785,0.13037823,2.9899886,0.69887495,-0.5798086,-1.9842049,-1.1442,1.8852901
88499580a1fffff,2016,-0.5537587,1.587229,-0.37053514,-1.0067488,-0.25254482,1.5398741,-0.29327232,-0.82238287
88499580a1fffff,2017,-2.0700505,-0.43221837,0.35854942,-0.56888986,-0.6923871,-0.07916196,0.41957217,0.52072763
88499580a1fffff,2018,-0.54601127,-0.2328866,0.40592897,0.19035532,-0.16806652,-0.49162802,0.39734033,0.7203809
88499580a1fffff,2019,-0.8964933,0.4405624,-2.018631,-0.3493028,-0.24908757,0.5627284,-1.0535796,0.322124
88499580a1fffff,2020,-0.1462169,0.56815654,-0.69662404,-1.8252394,0.2639062,-0.9069977,-1.966725,0.75469834
88499580a1fffff,2021,-1.5971435,0.99543947,1.3354948,-0.94588244,-1.7649311,-0.2839195,1.0470508,0.4807225
88499580a1fffff,2022,-1.2663759,-0.5912034,-0.7495782,-0.5117345,-1.0509588,0.21121426,0.085672095,1.7323707
88499580a5fffff,2018,-1.1660503,-0.9496889,-0.5288087,-0.8936339,2.656129,-1.4030497,2.195199,-0.68253696
88499580a5fffff,2019,1.522952,0.8247135,0.2506794,0.81186086,0.27761957,-0.3416857,-0.89106435,-0.42104903
88499580a5fffff,2020,-0.7334931,-0.48357368,-2.5808852,-6.1128902,-2.036836,-4.5567756,-1.7082611,-0.5000386
88499580a5fffff,2021,-0.97586524,0.1289135,-0.51513934,-3.6631021,-0.51480615,-0.6296558,-0.20992506,2.8590424
88499580a5fffff,2022,0.05658725,0.98091745,-2.5700476,-0.06749189,0.38178137,1.6646215,0.47100228,-1.2908804
88499580abfffff,2016,-1.412107,1.1458273,-1.9452981,-1.0720022,-2.3296793,-0.15497667,-2.2710402,-0.44060254
88499580abfffff,2017,0.23613034,0.54907626,-0.732289,0.098313294,-0.99062955,-1.587045,-2.759369,0.81347793
88499580abfffff,2018,-0.050300326,1.3146827,-1.5178335,-0.46810827,-1.232898,-0.636712,-0.525638,-1.2443894
88499580abfffff,2019,0.39999902,0.6386847,0.024235895,-0.51442343,-0.4128071,0.23675512,-0.034436606,-1.6053982
88499580abfffff,2022,-1.4693277,2.698863,-1.1047064,-2.8346746,0.98406756,2.6452177,-2.4999676,4.3242493
88499580abfffff,2023,0.3624239,0.8123461,0.31257567,1.1796848,-1.4399643,-0.6109718,-0.36744118,0.82186425
88499580abfffff,2024,-0.34631702,2.6206727,-0.70182383,-0.5372204,-2.1046643,-0.79692346,-1.3075297,-0.3380238
88499580b7fffff,2018,-0.7027145,0.9804355,-0.5900573,1.3291157,-0.55441356,-1.3492573,0.5642019,-0.23982763
88499580b7fffff,2020,-0.32241464,-1.1835387,2.4618144,-1.1875191,-0.9552896,-0.5574675,1.599607,0.79021645
88499580b7fffff,2021,-2.5255473,-0.1261439,-3.310476,-1.5224515,0.34314433,-0.20134422,-0.11728953,-1.3781092
88499580b7fffff,2022,-2.2346416,-1.1206344,1.146471,-1.0367445,-1.3826832,0.078259565,1.4658605,0.95578986
88499580d3fffff,2016,-1.246116,1.2871245,-0.108928755,0.66448736,0.074034885,-1.2402334,0.83295673,-0.9056799
88499580d3fffff,2017,0.86082965,0.5274487,-0.5506865,-0.2533943,-1.0751983,-0.16123755,-0.78972226,-0.24171431
88499580d3fffff,2018,-0.48252317,-0.44660845,-0.2590315,0.1333004,-0.7948014,-0.56577635,0.04402333,-0.057901792
88499580d3fffff,2019,-0.66351455,0.6483688,0.45403022,1.3664383,-0.7720703,-0.33925134,-1.2419835,0.67469335
88499580d3fffff,2020,-0.9683403,-0.12957166,-0.5614794,-1.6748121,-0.55546725,0.008765149,0.7103115,-0.883209
88499580d3fffff,2021,-0.23615381,-0.15319264,0.5472926,1.4962322,-1.2092236,-0.09413283,-1.7284263,0.5853958
88499580d3fffff,2022,1.2125096,2.3248737,1.2302749,-0.2918833,-1.2786783,-0.38897097,-1.9650629,0.58104694
88499580d3fffff,2023,0.013937488,2.8997948,0.20691915,0.6011858,1.037689,-0.3606124,-0.6650157,-0.5172925
88499580d3fffff,2024,-2.415443,0.32044065,1.1659753,1.1770486,-0.25333208,-2.7943761,-2.2214615,1.9172745
88499580d7fffff,2016,-0.31634253,-1.5877215,-2.5920894,-0.83581114,-0.015282106,-1.5697352,0.4308754,-1.9004729
88499580d7fffff,2017,1.5512118,0.27724943,-0.5374298,0.97395843,-0.3500896,-0.5838058,-1.2926478,-2.3462026
