h3_8,cluster_dtw
884995aa41fffff,0
884995aa45fffff,0
884995aa47fffff,1
884995aa4dfffff,3
884995aa61fffff,0
884995aa63fffff,0
884995aa67fffff,0
884995aa69fffff,4
884995aa6bfffff,3
884995b04dfffff,2
884995b069fffff,4
884995b125fffff,0
884995b12dfffff,2
884995b143fffff,4
884995b145fffff,0
884995b147fffff,2
884995b149fffff,2
884995b14dfffff,2
884995b161fffff,3
884995b163fffff,0
884995b165fffff,4
884995b167fffff,1
884995b169fffff,2
884995b16bfffff,0
884995b16dfffff,0
884995b309fffff,4
884995b323fffff,2
884995b327fffff,4
884995b345fffff,4
884995b347fffff,4
884995b34dfffff,4
884995b361fffff,1
884995b369fffff,1
884995b36bfffff,0
884995b36dfffff,1
884995b801fffff,4
884995b803fffff,4
884995b805fffff,2
884995b807fffff,1
884995b809fffff,4
884995b80bfffff,3
884995b80dfffff,1
884995b811fffff,0
884995b815fffff,4
884995b819fffff,4
884995b81bfffff,0
884995b81dfffff,4
884995b821fffff,4
884995b823fffff,3
884995b825fffff,2
884995b827fffff,0
884995b829fffff,1
884995b82bfffff,2
884995b82dfffff,2
884995b831fffff,3
884995b833fffff,0
884995b835fffff,2
884995b837fffff,1
884995b839fffff,4
884995b83bfffff,3
884995b83dfffff,4
884995b841fffff,2
884995b843fffff,2
884995b845fffff,2
884995b847fffff,2
884995b849fffff,2
884995b84bfffff,2
884995b84dfffff,4
884995b851fffff,3
884995b853fffff,2
884995b855fffff,0
884995b857fffff,1
884995b859fffff,3
884995b85bfffff,0
884995b85dfffff,0
884995b861fffff,1
884995b863fffff,1
884995b865fffff,1
884995b867fffff,2
884995b869fffff,1
884995b86bfffff,1
884995b86dfffff,4
884995b889fffff,2
884995b88dfffff,4
884995b899fffff,4
884995b8a1fffff,2
884995b8a3fffff,1
884995b8a7fffff,1
884995b8bdfffff,0
884995b8c1fffff,4
884995b8c3fffff,4
884995b8c7fffff,0
884995b8c9fffff,0
884995b8cbfffff,1
884995b8cdfffff,4
884995b8d1fffff,1
884995b8d3fffff,3
884995b8d5fffff,4
884995b8d7fffff,1
884995b8d9fffff,2
884995b8ddfffff,3
884995b8e5fffff,2
884995b8e7fffff,3
884995b8edfffff,4
884995b903fffff,1
884995b907fffff,4
884995b909fffff,2
884995b90dfffff,2
884995b911fffff,4
884995b913fffff,0
884995b915fffff,4
884995b917fffff,2
884995b919fffff,2
884995b91bfffff,1
884995b91dfffff,0
884995b929fffff,2
884995b92bfffff,4
884995b931fffff,0
884995b933fffff,0
884995b937fffff,0
884995b939fffff,1
884995b93bfffff,2
884995b93dfffff,2
884995b941fffff,1
884995b943fffff,0
884995b94bfffff,0
884995b951fffff,4
884995b953fffff,4
884995b955fffff,0
884995b957fffff,4
884995b959fffff,1
884995b95bfffff,1
884995b95dfffff,0
884995b963fffff,2
884995b96bfffff,0
884995b989fffff,4
884995b993fffff,2
884995b999fffff,3
884995b99bfffff,4
884995b99dfffff,0
884995b9c1fffff,1
884995b9c3fffff,4
884995b9c5fffff,0
884995b9c7fffff,3
884995b9c9fffff,2
884995b9cbfffff,4
884995b9cdfffff,4
884995b9d3fffff,2
884995b9d5fffff,1
884995b9d7fffff,0
884995b9dbfffff,4
884995b9ddfffff,2
884995b9e1fffff,1
884995b9e3fffff,2
884995b9e5fffff,3
884995b9e7fffff,2
884995b9e9fffff,1
884995b9ebfffff,0
884995b9edfffff,2
884995ba01fffff,0
884995ba03fffff,2
884995ba05fffff,1
884995ba07fffff,2
884995ba09fffff,3
884995ba0bfffff,2
884995ba0dfffff,4
884995ba11fffff,2
884995ba15fffff,4
884995ba19fffff,0
884995ba1dfffff,4
884995ba21fffff,3
884995ba23fffff,2
884995ba25fffff,2
884995ba27fffff,1
884995ba29fffff,3
884995ba2bfffff,0
884995ba2dfffff,0
884995ba31fffff,2
884995ba33fffff,1
884995ba35fffff,0
884995ba37fffff,4
884995ba39fffff,1
884995ba3bfffff,4
884995ba3dfffff,1
884995ba41fffff,3
884995ba43fffff,3
884995ba45fffff,3
884995ba47fffff,2
884995ba49fffff,2
884995ba4bfffff,3
884995ba4dfffff,3
884995ba51fffff,0
884995ba53fffff,2
884995ba55fffff,2
884995ba57fffff,2
884995ba59fffff,2
884995ba5bfffff,0
884995ba5dfffff,3
884995ba61fffff,0
884995ba63fffff,0
884995ba65fffff,2
884995ba67fffff,2
884995ba69fffff,4
884995ba6bfffff,4
884995ba6dfffff,3
884995ba81fffff,1
884995ba83fffff,4
884995ba85fffff,3
884995ba87fffff,4
884995ba89fffff,3
884995ba8bfffff,4
884995ba8dfffff,3
884995baa1fffff,4
884995baa3fffff,4
884995baa5fffff,4
884995baa7fffff,2
884995baa9fffff,0
884995baabfffff,2
884995baadfffff,1
884995bab1fffff,1
884995bab3fffff,4
884995bab5fffff,0
884995bab7fffff,3
884995babbfffff,4
884995bac5fffff,4
884995bac7fffff,4
884995bae1fffff,1
884995bae3fffff,4
884995bae5fffff,0
884995bae7fffff,1
884995bae9fffff,2
884995baebfffff,2
884995baedfffff,4
884995bb01fffff,1
884995bb03fffff,0
884995bb07fffff,2
884995bb09fffff,1
884995bb0bfffff,1
884995bb0dfffff,4
884995bb11fffff,4
884995bb13fffff,4
884995bb15fffff,2
884995bb17fffff,1
884995bb19fffff,1
884995bb1bfffff,2
884995bb1dfffff,3
884995bb21fffff,3
884995bb23fffff,4
884995bb25fffff,0
884995bb2bfffff,3
884995bb2dfffff,3
884995bb31fffff,4
884995bb33fffff,0
884995bb35fffff,1
884995bb37fffff,4
884995bb39fffff,2
884995bb3bfffff,3
884995bb3dfffff,3
884995bb41fffff,1
884995bb43fffff,1
884995bb45fffff,4
884995bb47fffff,1
884995bb49fffff,0
884995bb4bfffff,1
884995bb4dfffff,4
884995bb51fffff,1
884995bb53fffff,4
884995bb55fffff,4
884995bb57fffff,0
884995bb59fffff,4
884995bb5bfffff,3
884995bb5dfffff,4
884995bb61fffff,4
884995bb63fffff,0
884995bb65fffff,2
884995bb67fffff,4
884995bb69fffff,4
884995bb6bfffff,1
884995bb6dfffff,2
