cluster,cm_transeunte,cm_vehiculo,cm_negocio,cm_repartidor,cm_metro,cm_violacion,cm_homicidio,cm_microbus,cm_lesiones,cm_casa,hr_madrugada,hr_manana,hr_tarde,hr_noche,ds_0,ds_1,ds_2,ds_3,ds_4,ds_5,ds_6,log_n
0,0.3565442439952477,0.293004894073528,0.07781114273616319,0.058603179145026545,0.0040478218163925795,0.09273223423278702,0.049247471726915064,0.013039874416840465,0.022368159004729625,0.03260097885236966,0.19267807723448188,0.21109727447914955,0.2936217021141594,0.30260294617220906,0.1606756257359098,0.12766200459829014,0.1380458674982534,0.1392724790425121,0.12164204627097568,0.1615219290846804,0.15118004776937827,3.325764036239607
1,0.33495662924555997,0.3057676988000973,0.18742588001124597,0.049908923328522196,0.011830493879181591,0.048414472639839654,0.020934710300644883,0.014163303193706131,0.010675986888728653,0.015921901712473464,0.11802281197020631,0.21966077782533233,0.30407199834449095,0.3582444118599703,0.1185788513811686,0.14045267215477172,0.14208645047248392,0.14687216392396693,0.18700206070786962,0.14739778035409581,0.11761002100564316,3.5700969351514735
2,0.21338625738016181,0.5317333560097519,0.08023202467773032,0.04629382908100114,0.003731356541647916,0.03365568930408093,0.0356261253116475,0.015452863486674826,0.021293100772664386,0.01859539743463908,0.12603209962891218,0.23413003620989742,0.22975500400008617,0.4100828601611041,0.14102997659082606,0.15142000747137077,0.16003315387348344,0.15290648138504018,0.15222527593597485,0.12322556046645977,0.11915954427684472,3.3593925300894734
3,0.40808473210163304,0.2853832231316075,0.07799374998692442,0.04612989256502442,0.013569343175886794,0.04205194176544981,0.030658318351484103,0.061079252529298335,0.022555335168656657,0.012494211224034622,0.11371212909966341,0.2332857420235418,0.34233597718461634,0.3106661516921783,0.15250181184740536,0.1693015356728956,0.1567472205846178,0.15352112459290504,0.14484421744020182,0.12212438935191489,0.10095970051005926,3.639655202357966
4,0.36961507983276076,0.26172971294459185,0.07555216723241934,0.09070822914243294,0.08937494339077619,0.034567198433520394,0.036566944652506345,0.01146984260491973,0.024822908782413944,0.005592972983658336,0.12539760349541704,0.2881432980269386,0.2882952955291159,0.29816380294852834,0.15564238550738607,0.1497795805425374,0.1456006591817675,0.16012632942379126,0.15621813908243648,0.1288044414435323,0.10382846481854871,3.964733997277666
