h3_8,cluster,lag,lisa_I,lisa_p,lisa_q,lisa_sig,year
8849958ebbfffff,2,1.6666666666666665,-0.012974041030584272,0.384,4,0,2024
8849958ec1fffff,3,2.333333333333333,0.3197128291488401,0.178,1,0,2024
8849958ec3fffff,3,2.0,0.12170886109643347,0.322,1,0,2024
8849958ec5fffff,0,1.1666666666666665,0.5561617300845184,0.158,3,0,2024
8849958ec7fffff,1,1.6666666666666665,0.05034702489480462,0.392,3,0,2024
8849958ec9fffff,3,3.333333333333333,0.9137247333060602,0.006,1,1,2024
8849958ecbfffff,4,2.4000000000000004,0.6575256903793673,0.202,1,0,2024
8849958ecdfffff,3,2.1666666666666665,0.22071084512263678,0.206,1,0,2024
8849958ed3fffff,4,3.0,1.3097326694108733,0.026,1,1,2024
8849958ed7fffff,4,2.25,0.4944739456214909,0.216,1,0,2024
8849958edbfffff,1,3.0,-0.47230304306078635,0.024,2,1,2024
8849958ee1fffff,3,1.3333333333333333,-0.27429907500837974,0.22,4,0,2024
8849958ee3fffff,1,2.5,-0.27630926757743973,0.096,2,0,2024
8849958ee5fffff,0,1.6666666666666665,0.11366809082019348,0.478,3,0,2024
8849958ee7fffff,3,1.6666666666666667,-0.07629510695597318,0.374,4,0,2024
8849958ee9fffff,0,1.1666666666666665,0.5561617300845183,0.188,3,0,2024
8849958eebfffff,0,1.5,0.26116597057496843,0.356,3,0,2024
8849958eedfffff,4,0.5,-1.407796409887068,0.008,4,1,2024
8849958f01fffff,1,3.0,-0.47230304306078635,0.186,2,0,2024
8849958f07fffff,3,1.0,-0.4723030430607864,0.272,4,0,2024
8849958f3bfffff,2,2.0,0.020696684501170157,0.434,1,0,2024
88499595a3fffff,2,1.5,-0.02980940379646149,0.308,4,0,2024
88499595abfffff,3,1.0,-0.4723030430607864,0.17,4,0,2024
88499595bdfffff,0,2.5,-0.6238213079536813,0.206,2,0,2024
884995a365fffff,1,0.75,0.4096689466142734,0.106,3,0,2024
884995a36dfffff,1,1.6666666666666665,0.0503470248948046,0.484,3,0,2024
884995aa05fffff,1,1.0,0.31167205887260013,0.128,3,0,2024
884995aa29fffff,0,1.5,0.2611659705749685,0.38,3,0,2024
884995aa2bfffff,1,0.5,0.5076658343559467,0.17,3,0,2024
884995aa41fffff,2,1.75,-0.004556359647645666,0.432,4,0,2024
884995aa45fffff,3,1.0,-0.4723030430607864,0.076,4,0,2024
884995aa47fffff,0,2.333333333333333,-0.47632342819890633,0.256,2,0,2024
884995aa49fffff,2,2.0,0.020696684501170157,0.4,1,0,2024
884995aa4dfffff,2,1.833333333333333,0.003861321735292941,0.472,1,0,2024
884995aa61fffff,2,1.2000000000000002,-0.060113056775040474,0.152,4,0,2024
884995aa63fffff,2,1.4,-0.03991062145598782,0.24,4,0,2024
884995aa67fffff,2,1.3333333333333333,-0.04664476656233871,0.232,4,0,2024
884995aa69fffff,0,1.4,0.3496646984278335,0.268,3,0,2024
884995aa6bfffff,2,1.4,-0.03991062145598782,0.238,4,0,2024
884995aa6dfffff,0,1.0,0.7036596098392933,0.306,3,0,2024
884995b04dfffff,3,1.0,-0.4723030430607864,0.268,4,0,2024
884995b069fffff,0,1.0,0.7036596098392933,0.428,3,0,2024
884995b125fffff,3,3.0,0.7157207652536534,0.108,1,0,2024
884995b12dfffff,3,3.0,0.7157207652536534,0.07,1,0,2024
884995b141fffff,3,1.0,-0.4723030430607864,0.106,4,0,2024
884995b143fffff,0,2.3333333333333335,-0.47632342819890633,0.248,2,0,2024
884995b145fffff,1,2.1666666666666665,-0.14564675058854204,0.206,2,0,2024
884995b147fffff,3,1.75,-0.026794114942871504,0.492,4,0,2024
884995b149fffff,0,1.4000000000000001,0.3496646984278335,0.262,3,0,2024
884995b14dfffff,1,1.1666666666666667,0.24634080037815123,0.162,3,0,2024
884995b15dfffff,1,0.0,0.7036596098392934,0.002,3,1,2024
884995b161fffff,3,1.6666666666666667,-0.07629510695597316,0.392,4,0,2024
884995b163fffff,3,3.0,0.7157207652536534,0.104,1,0,2024
884995b165fffff,0,2.8333333333333335,-0.9188170674632312,0.03,2,1,2024
884995b167fffff,3,2.4000000000000004,0.35931362275932144,0.124,1,0,2024
884995b169fffff,0,2.2,-0.3583251243950864,0.21,2,0,2024
884995b16bfffff,3,2.0,0.12170886109643352,0.3,1,0,2024
884995b16dfffff,1,1.2000000000000002,0.23327454867926148,0.152,3,0,2024
